rh.pial.DK.frontalpole,lh.pial.DK.frontalpole,rh.pial.DK.rostralmiddlefrontal,lh.pial.DK.rostralmiddlefrontal,rh.pial.DK.parsorbitalis,lh.pial.DK.parsorbitalis,rh.pial.DK.medialorbitofrontal,lh.pial.DK.medialorbitofrontal,rh.pial.DK.rostralanteriorcingulate,lh.pial.DK.rostralanteriorcingulate,rh.pial.DK.parstriangularis,lh.pial.DK.parstriangularis,rh.pial.DK.lateralorbitofrontal,lh.pial.DK.lateralorbitofrontal,rh.pial.DK.superiorfrontal,lh.pial.DK.superiorfrontal,rh.pial.DK.caudalanteriorcingulate,lh.pial.DK.caudalanteriorcingulate,rh.pial.DK.parsopercularis,lh.pial.DK.parsopercularis,rh.pial.DK.caudalmiddlefrontal,lh.pial.DK.caudalmiddlefrontal,rh.pial.DK.temporalpole,lh.pial.DK.temporalpole,rh.pial.DK.insula,lh.pial.DK.insula,rh.pial.DK.entorhinal,lh.pial.DK.entorhinal,rh.pial.DK.precentral,lh.pial.DK.precentral,rh.pial.DK.posteriorcingulate,lh.pial.DK.posteriorcingulate,rh.pial.DK.superiortemporal,lh.pial.DK.superiortemporal,rh.pial.DK.postcentral,lh.pial.DK.postcentral,rh.pial.DK.transversetemporal,lh.pial.DK.transversetemporal,rh.pial.DK.paracentral,lh.pial.DK.paracentral,rh.pial.DK.middletemporal,lh.pial.DK.middletemporal,rh.pial.DK.parahippocampal,lh.pial.DK.parahippocampal,rh.pial.DK.inferiortemporal,lh.pial.DK.inferiortemporal,rh.pial.DK.supramarginal,lh.pial.DK.supramarginal,rh.pial.DK.fusiform,lh.pial.DK.fusiform,rh.pial.DK.bankssts,lh.pial.DK.bankssts,rh.pial.DK.isthmuscingulate,lh.pial.DK.isthmuscingulate,rh.pial.DK.precuneus,lh.pial.DK.precuneus,rh.pial.DK.superiorparietal,lh.pial.DK.superiorparietal,rh.pial.DK.inferiorparietal,lh.pial.DK.inferiorparietal,rh.pial.DK.lingual,lh.pial.DK.lingual,rh.pial.DK.cuneus,lh.pial.DK.cuneus,rh.pial.DK.pericalcarine,lh.pial.DK.pericalcarine,rh.pial.DK.lateraloccipital,lh.pial.DK.lateraloccipital
0.0033826927083555128,0.00011877029715267205,0.0004238219019716882,0.00039906008706825567,0.00020315259264326338,0.0001761446508193423,0.0002744454333901933,0.0002471473512926196,0.00020062553547778775,0.00021112253996669544,0.00030424634505738787,0.000264122761869041,0.00020778953234468556,0.00022743365101684566,0.0005846410923789569,0.0005907422585604452,0.0001756471425138528,0.00014851551377677232,0.0002469697244747185,0.00030411963623466645,0.00035153095138904964,0.00034556930041974566,0.00010266439628151111,0.00012496025260914372,0.00015207470351893094,0.00015371639944215945,8.623797318667439e-05,8.843715462529458e-05,0.0004447119133683828,0.0004476648472599087,0.0002562663245568776,0.00025094219162355777,0.00043727486345519404,0.00038719052734565736,0.0005846987101634479,0.0005960339286316531,0.00011675426925289702,0.00016888042094823351,0.0002041334895316342,0.00017144659627830588,0.0003476435590119904,0.0003227414404059726,9.479457578871365e-05,9.129136102855302e-05,0.00030212284793109284,0.0002967177192353986,0.0005127432172166084,0.0005472447105015645,0.00028891198760828794,0.0002920529022817188,0.00017953365969643225,0.00018901721394644065,0.00020838115576670368,0.00020319584430011534,0.0004302516468209365,0.0004294814696331433,0.0004430657853386669,0.00044944528671009656,0.000528943751029206,0.0005048192605481003,0.00030847496625147037,0.0002946940204902306,0.00022096471321044514,0.00021083516079350626,0.000248557569883179,0.00024776666559401666,0.00034034487403916577,0.00031342965398870173
0.00010482063527030898,0.003356692435837589,0.0003988416612150601,0.00044309502954920034,0.00019170755073674454,0.00017733712001960318,0.00025003560740302074,0.00026013107625392286,0.00020879428874407522,0.00019967358611144693,0.0002890096141166077,0.0002931569227120642,0.0001999377319386695,0.00024578464323810577,0.0006028582588301952,0.0006234732878651682,0.0001748839803645169,0.00014535012801959824,0.0002451524946155753,0.0003166250854386383,0.00033625825685070485,0.00036768994400255623,9.522850488459533e-05,0.00012672629154200613,0.00014700801764658592,0.00015141772977158628,8.598090943046246e-05,9.803079521761652e-05,0.00043091209960527724,0.00043705967686106357,0.0002575037096760789,0.00024534055135122453,0.0004225849276503171,0.0004051958961411727,0.0005691007155350253,0.0005904490810155225,0.00011529009095630647,0.00017810487389372076,0.00019364720245083086,0.00017187492399191656,0.0003541514172088781,0.000334253912767223,9.356416840346165e-05,9.569535730661236e-05,0.0003041900271682427,0.0002964765287689368,0.0005140378316399617,0.0005658893855573663,0.0002900770285962342,0.00029774681747475325,0.00018094784930193375,0.00019794324775565812,0.00021247877205965817,0.00020988934318513948,0.00042939393816426695,0.0004238447807184979,0.00044525596624570344,0.00044036496531600297,0.0005436658329382907,0.0005084084394375468,0.0003117675344313126,0.0002953201565088745,0.00022015180155174043,0.00021136341322651125,0.0002569579985203609,0.00025357730126084375,0.00034737350313600334,0.00032589992631262246
2.41836622617216e-05,2.3748185456817746e-05,0.003800853154770188,9.1232975660232e-05,4.9008920482024074e-05,3.804652622483379e-05,5.9971778957100366e-05,4.974249992541218e-05,4.131925797459021e-05,4.133997794903154e-05,7.66084008523919e-05,6.096401823176592e-05,5.0817042627140585e-05,4.827773029312399e-05,0.0001481698774666994,0.00014108276135986087,4.6538593599704906e-05,4.118791564236007e-05,6.7510216878493e-05,6.898540132843303e-05,8.388225081505973e-05,7.744670005661693e-05,2.331586728896621e-05,2.8795680309059532e-05,3.899110131296372e-05,3.490094537739869e-05,2.0268401484120583e-05,2.0421271044280478e-05,0.00010402883048080785,0.00010441293997079013,6.297587533608599e-05,5.7620466362645144e-05,0.00010285979853866747,8.941127639952008e-05,0.00013667444285199074,0.00013482470181370434,2.825891881136535e-05,3.9678445232891166e-05,4.833654113137122e-05,3.999850952923251e-05,8.094819285590227e-05,7.189007430444883e-05,2.215401362905078e-05,2.1662784384203172e-05,6.943672807359671e-05,6.37005534482884e-05,0.00012657217937712105,0.00013050903553823317,6.737983152796315e-05,6.65423884007879e-05,4.242442008901369e-05,4.3850529874076204e-05,4.6774033492974056e-05,4.603865306221366e-05,9.924539894980799e-05,9.791118454656407e-05,0.00010320830701849764,0.00010260144920122043,0.00012474884063281509,0.0001141648908894651,7.49489023459225e-05,6.686996094383942e-05,5.0214287058911855e-05,4.667416620351209e-05,5.96811841966484e-05,5.7446953990355224e-05,7.92278773298064e-05,6.937895316323435e-05
2.435212086389895e-05,2.602806176641498e-05,9.400206756565991e-05,0.0036777392976042513,4.705428808900982e-05,4.9485186216735735e-05,5.951908204598497e-05,5.84549188024042e-05,4.023186359632231e-05,4.790603208465315e-05,6.677427080796901e-05,7.600401226544526e-05,4.4406234213512654e-05,5.8677519935404905e-05,0.00014467676136245742,0.00015062706596474413,4.8665129108350065e-05,3.974935529024866e-05,5.849750813092215e-05,8.455331483920602e-05,7.933388986539572e-05,9.109542965253713e-05,2.224025612356029e-05,3.1253582103576184e-05,3.731984000619718e-05,3.9916541292593195e-05,1.9732722897457908e-05,2.1618285789487648e-05,9.940391595378448e-05,0.00011090785914247293,6.318065752311888e-05,6.113746203647849e-05,0.00010105810016171309,9.95736859437291e-05,0.00013095283007765593,0.00014335524192470763,2.7592275236742793e-05,4.2776605485865187e-05,5.020113922765677e-05,4.26001820617077e-05,7.865282354000472e-05,7.669185672550795e-05,2.2340110875583836e-05,2.233168183639254e-05,6.977778174903736e-05,6.656048538070957e-05,0.00012373393656816612,0.0001324332675270301,6.492583631475533e-05,7.045103857146778e-05,4.137411967002518e-05,4.653697664899523e-05,4.8255341147997206e-05,4.66469247879489e-05,0.00010477195263475937,9.891244462429222e-05,0.00010266342839830303,0.00010623562108231885,0.0001201195680904662,0.00011691988123059567,7.068252318039966e-05,6.938254257901477e-05,5.174668326171905e-05,4.971359732042036e-05,6.162284880223272e-05,5.937836932490206e-05,7.758552803602678e-05,7.149231829616431e-05
5.7390048397624115e-05,5.659405434806771e-05,0.00026070289731827944,0.00022787851716637403,0.003521971449377632,9.93106688675279e-05,0.00015417314059576926,0.0001265227394452753,0.00010084306598951043,0.00010620360624315306,0.00019187093447541344,0.00015669569094689558,0.00014196842991020587,0.00011672766162397986,0.00034489422266713223,0.00034896037675883034,0.00010559368345357605,7.949422582966487e-05,0.00017521918330417794,0.00017339746519843622,0.00019664497850897312,0.0001985441684308258,6.850447466836435e-05,7.640472551073373e-05,0.0001002852623008125,8.646225919048495e-05,5.1054845379301524e-05,5.007296126350556e-05,0.00025878629305572785,0.00025981055491777137,0.00015468942211291177,0.00014205569500826126,0.00026828749910454044,0.00022668255969832823,0.00033051492690612066,0.0003335550523244784,7.136522806196682e-05,0.00010255775496972857,0.00012223357411903047,0.00010126880025409397,0.0001995143792249407,0.0001727063093812101,5.396846179439286e-05,5.5875719453721495e-05,0.00017854932369757736,0.00016186518436620315,0.0003076150019193793,0.00032691481760952347,0.00016278618956706368,0.0001627716483632082,0.00010627862883788914,0.00010978845567613982,0.00011494150705830058,0.00011511666273167676,0.00025553232403313414,0.0002454389294620649,0.00025684364156312373,0.00025310408145973716,0.00029111859818605195,0.0002832478049929321,0.0001710920940559877,0.00016518134183522877,0.00012293598333060153,0.00011604356736781526,0.0001522812844426589,0.00013959413288809207,0.00019672301344975788,0.00017108308728716557
6.482623707621576e-05,6.982363900486759e-05,0.00025549122866528896,0.00032175935221977046,0.0001311638177778898,0.0032736501739914917,0.00016304288845732192,0.00016680925008123368,0.00011439164420154375,0.0001246217435530777,0.00019005274652049862,0.00023217843021126422,0.00012083265564063393,0.0002147981089692965,0.00039106342196570205,0.0003885382928946375,0.00011686902188845398,9.554343294616623e-05,0.0001600194428885755,0.00023104765449367544,0.00021867991209898713,0.00023429638867228605,6.37498247319299e-05,9.858709975680912e-05,0.00010061467658728066,0.00011335408708507182,5.6158092833810314e-05,6.877617742857104e-05,0.0002897027337613612,0.000305048431368972,0.0001766547981631543,0.00016554360248859895,0.00028426283974015135,0.0002900260671256831,0.00037875910512091896,0.00039351701072505026,8.07361776212508e-05,0.00012467618895444887,0.00014427744533601863,0.00012003270907987613,0.00022575868556617526,0.00021897698103149179,6.195868232731282e-05,6.399908217382416e-05,0.00019810245299413547,0.00019862814090543197,0.00034641208091302074,0.00038168038659549625,0.00018733858817309362,0.00020859038935827696,0.000117255987133585,0.00013481272439530152,0.0001415477941107616,0.00013234235354982448,0.0003013024882678226,0.0002822500216899713,0.00031236457588591435,0.0003071281479129077,0.0003430694120574648,0.00033031160444624817,0.00020462651141624384,0.00019837941848316985,0.00014678508605610592,0.00014134936943736344,0.00017357163596863146,0.00016656478318411038,0.00021870464223284423,0.0002056201220073764
5.955039081756408e-05,5.575609578563039e-05,0.00023828676367491832,0.0002394096577665656,0.0001204419855966385,0.00010240862186400418,0.002973543124989994,0.00013674582933094682,0.00012239857610832244,0.0001510252309545531,0.00018090012941895538,0.00016829394632689615,0.00011087304298825291,0.00011999139398781185,0.00037017350512767944,0.00034429486285296034,0.00011188387164110008,8.419310989201248e-05,0.00015307480358453047,0.0001813840701948742,0.00019445473984348446,0.0001972924841679466,5.807443507523578e-05,7.526210719550997e-05,9.44624851589994e-05,9.052264959883727e-05,5.026374576453507e-05,5.1124234483270197e-05,0.0002607763618259851,0.00027300319598315995,0.0001641141756811812,0.00015281682380092386,0.000251349136931263,0.0002403790324808253,0.00032563463218785013,0.00034091060411099516,7.213143472253698e-05,0.00010925012777434996,0.00012900027724487356,0.00010392481407975538,0.00019397644881790694,0.00018110379204656056,5.801232917153372e-05,5.6785479499514875e-05,0.0001675785626108208,0.00016289631475926018,0.00030009771742375504,0.00033040115747050666,0.00016496619716149975,0.0001624712366779302,0.00010325020421533155,0.00011285502243016531,0.000122470939348512,0.00011416493540002457,0.00027117830750275575,0.00026749523841277094,0.00027674208685939697,0.00027377118148466206,0.0002967905072195935,0.0002805031032298242,0.00017600942374112997,0.00017157371942747913,0.00012913036574150862,0.00012329486760570899,0.00015674938569317792,0.00015363790441445382,0.0001987099065706829,0.00017503351780263747
5.38951457609043e-05,5.814736716577508e-05,0.0002165674365650562,0.00024199825209123395,0.00010860464989848654,0.00010679901494356584,0.00014992954783466558,0.0034525975339686965,0.00010981569324113707,0.00014669970143945632,0.00016022688920003017,0.00016283365335135745,0.00011389924542173087,0.0001295433914391229,0.00032916215991153744,0.00033942813274638833,0.0001078032736490317,8.397857056151875e-05,0.00014281875940403034,0.00017900939037416295,0.00018292742535680847,0.00019391696341695557,5.302163923580977e-05,7.476898416863599e-05,8.814608722702209e-05,9.043964517004787e-05,4.870396038924194e-05,5.488007739476729e-05,0.0002405366636519142,0.0002596585433982346,0.00015951837074854115,0.00014755051770850674,0.0002405738584461282,0.00023494085876631394,0.00031564108951612387,0.0003355753186246243,6.731060806175792e-05,0.0001059937517384379,0.0001208511668758645,9.842607474569714e-05,0.00018829663084008572,0.00017957076131786253,5.454316221564237e-05,5.474094434173151e-05,0.00016345328178121607,0.00016527864148181505,0.00028932743999823894,0.00031263622657490134,0.00016368816625063928,0.00017106582879019397,9.93428629163307e-05,0.00011316695087806637,0.00012103025466128503,0.0001146339087227032,0.0002453711997240155,0.00025856389183283985,0.00025588087685295125,0.0002601015680915958,0.000295530105893784,0.00028069699616987,0.00017403149229434708,0.0001736957858790348,0.0001288562640063006,0.00011973532307906389,0.00014518305454211172,0.00014724811458347983,0.00019521255749006578,0.00017884187012964594
8.445588203693919e-05,8.371927234621325e-05,0.00034229862569292574,0.00034875033653768796,0.0001646145072733034,0.00014604252828767078,0.00019460896095359331,0.0001696086036530117,0.003164527696784696,0.00016546470160361092,0.0002521709071097762,0.00024932158185488247,0.00015673496888461038,0.00016424761030137117,0.0005229290332267373,0.0005246782064597826,0.00015713081487437732,0.0001161308160757408,0.00021915034174300975,0.00024639752975471875,0.0002657499156784753,0.0002741276719721552,8.969220487497993e-05,0.00011445984118087116,0.0001339449353452874,0.0001288924679363202,6.608812498225167e-05,6.96107709631066e-05,0.00039079816969283024,0.00038490797243252717,0.00024365144981133112,0.0002186610354992191,0.000345512394208195,0.00032923370808082115,0.0004411227913551985,0.0004442063810151452,0.00010227332215548659,0.00016123229575612527,0.0001943759879366327,0.00015104262456277915,0.00026727584116642355,0.00024038994446573113,8.196012325783395e-05,8.106726666378779e-05,0.00021729321310630042,0.0002115567340154536,0.0004343083468013286,0.0004578771329794638,0.00020647616530169955,0.00021192639457253003,0.00014253251313748794,0.00015340170715279488,0.0001608718198870214,0.00015624924253296982,0.0003888775639152947,0.00038653542443297154,0.00039376327805624154,0.00038342016885382056,0.0003863271521693845,0.00037079704915508616,0.0002517691254095476,0.00023290748503483264,0.00017421666620350449,0.00016011382021042253,0.0002291635455449848,0.0002184898153897915,0.00026694336241442096,0.000246858858558908
7.520825369089757e-05,7.311166249329381e-05,0.00031192728804890605,0.00033776016968314703,0.0001567134146671805,0.0001443014058097743,0.00019270638608132293,0.0001773313938628791,0.00015159405525331095,0.00302698641093787,0.00023079939922633684,0.00023233512824617566,0.0001455244705931351,0.00016007314541106142,0.0004625501675204113,0.0005047816644269167,0.00015152166102029276,0.0001146208378486574,0.00020600104686548584,0.00023872776987891506,0.0002520845315971042,0.00025979206656166076,7.9196897025596e-05,0.00010686179935115233,0.0001246527522785303,0.00012764510815913114,6.219477721455376e-05,6.60431162406119e-05,0.00035173887066939025,0.00037166957328766363,0.0002442093163577554,0.00020498249833584116,0.00032098199851224557,0.00031307706021271766,0.00041790601939183396,0.0004401750738178977,9.85136796119128e-05,0.00015041047932449022,0.00017721798515170497,0.00014044805862036948,0.0002441275745888591,0.00023320429784845197,7.925069829833158e-05,7.960151363360441e-05,0.00020693755688408708,0.00020430462926612083,0.00040072227465012984,0.00043794021152373657,0.0001941397318777456,0.00019852050280000453,0.00013257060647611817,0.00014771578408400349,0.00015701347198750107,0.00014219134313883186,0.0003759587890555572,0.0003821265132108252,0.00037682683445834636,0.000372819526153686,0.00036376134073227864,0.0003486746968719277,0.00022617485417161066,0.00022890056870868367,0.00016749732300601585,0.00015505327002147165,0.0002176204312089634,0.0002057789983699836,0.00026020841228612034,0.0002262746032986353
